day,date,new_cases_malaysia,total_cases_malaysia,new_death_malaysia,total_death_malaysia,new_recovered_malaysia,total_recovered_malaysia
139,10-06-20,2,8338,1,118,39,7014
140,11-06-20,31,8369,0,118,51,7065
141,12-06-20,33,8402,1,119,103,7168
142,13-06-20,43,8445,1,120,143,7311
143,14-06-20,8,8453,1,121,35,7346
144,15-06-20,41,8494,0,121,51,7397
145,16-06-20,11,8505,0,121,333,7730
146,17-06-20,10,8515,0,121,140,7870
147,18-06-20,14,8529,0,121,127,7997
148,19-06-20,6,8535,0,121,70,8067
149,20-06-20,21,8556,0,121,76,8143
150,21-06-20,16,8572,0,121,10,8153
151,22-06-20,15,8587,0,121,21,8174
152,23-06-20,3,8590,0,121,9,8183
153,24-06-20,6,8596,0,121,45,8228
154,25-06-20,4,8600,0,121,40,8268
155,26-06-20,6,8606,0,121,23,8291
156,27-06-20,10,8616,0,121,14,8305
157,28-06-20,18,8634,0,121,10,8315
